Description	
Number of Runs	750
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
488	900	1177	1	04/10/25 12:19:45 PM	
489	900	1174	1	04/10/25 12:19:47 PM	
490	900	1149	1	04/10/25 12:19:48 PM	
491	900	1163	1	04/10/25 12:19:49 PM	
492	900	1165	1	04/10/25 12:19:50 PM	
493	900	1186	1	04/10/25 12:19:51 PM	
494	900	1142	1	04/10/25 12:19:53 PM	
495	900	1148	1	04/10/25 12:19:54 PM	
496	900	1162	1	04/10/25 12:19:55 PM	
497	900	1168	1	04/10/25 12:19:56 PM	
498	900	1175	1	04/10/25 12:19:57 PM	
499	900	1176	1	04/10/25 12:19:59 PM	
500	900	1166	1	04/10/25 12:20:00 PM	
501	900	1127	1	04/10/25 12:20:01 PM	
502	900	1152	1	04/10/25 12:20:02 PM	
503	900	1172	1	04/10/25 12:20:04 PM	
504	900	1153	1	04/10/25 12:20:05 PM	
505	900	1169	1	04/10/25 12:20:06 PM	
506	900	1174	1	04/10/25 12:20:07 PM	
507	900	1158	1	04/10/25 12:20:08 PM	
508	900	1175	1	04/10/25 12:20:10 PM	
509	900	1182	1	04/10/25 12:20:11 PM	
510	900	1157	1	04/10/25 12:20:12 PM	
511	900	1191	1	04/10/25 12:20:13 PM	
512	900	1182	1	04/10/25 12:20:14 PM	
513	900	1152	1	04/10/25 12:20:15 PM	
514	900	1186	1	04/10/25 12:20:17 PM	
515	900	1176	1	04/10/25 12:20:18 PM	
516	900	1161	1	04/10/25 12:20:19 PM	
517	900	1171	1	04/10/25 12:20:20 PM	
518	900	1173	1	04/10/25 12:20:22 PM	
519	900	1137	1	04/10/25 12:20:23 PM	
520	900	1163	1	04/10/25 12:20:24 PM	
521	900	1178	1	04/10/25 12:20:25 PM	
522	900	1182	1	04/10/25 12:20:26 PM	
523	900	1152	1	04/10/25 12:20:28 PM	
524	900	1153	1	04/10/25 12:20:29 PM	
525	900	1151	1	04/10/25 12:20:30 PM	
526	900	1164	1	04/10/25 12:20:31 PM	
527	900	1138	1	04/10/25 12:20:32 PM	
528	900	1201	1	04/10/25 12:20:34 PM	
529	900	1177	1	04/10/25 12:20:35 PM	
530	900	1146	1	04/10/25 12:20:36 PM	
531	900	1146	1	04/10/25 12:20:37 PM	
532	900	1148	1	04/10/25 12:20:38 PM	
533	900	1157	1	04/10/25 12:20:40 PM	
